response,rt,participant_id,ab_nominal
1,0.6984,715,10.0
1,2.9913,715,10.0
1,1.2401,715,0.05
1,1.016,715,0.05
1,0.673,715,0.05
1,1.0521,715,0.05
1,1.8221,715,0.05
1,1.6195,715,0.05
1,2.2393,715,0.05
1,0.8121,715,0.05
1,1.3788,715,0.05
1,2.9369,715,0.05
0,1.932,715,0.05
1,1.2989,715,0.05
1,1.013,715,0.05
1,2.5955,715,0.05
1,0.9629,715,0.05
1,1.1798,715,0.05
0,1.4751,715,0.05
1,3.4095,715,0.05
1,1.4257,715,0.05
0,2.0705,715,0.05
1,1.8297,715,0.05
1,1.7167,715,10.0
0,1.9213,716,10.0
1,1.3597,716,10.0
1,2.0196,716,10.0
1,1.1094,716,10.0
0,1.5998,716,10.0
0,2.1371,716,10.0
1,1.5361,716,10.0
1,1.3779,716,10.0
1,1.5874,716,0.05
0,1.9513,716,0.05
0,1.6758,716,0.05
1,1.5476,716,0.05
1,1.9413,716,0.05
1,1.2935,716,0.05
1,1.7452,716,0.05
0,2.4335,716,0.05
0,1.7793,716,10.0
1,1.1548,716,10.0
0,2.6029,716,10.0
1,2.0405,716,10.0
0,1.8916,716,10.0
1,1.7827,716,10.0
1,2.2638,716,10.0
1,2.2671,716,10.0
1,2.352,716,0.05
1,1.7312,716,0.05
0,1.9972,716,0.05
1,1.2,716,0.05
1,1.1121,716,0.05
1,1.8065,716,0.05
1,2.3273,716,0.05
0,1.3156,716,0.05
1,2.3113,716,10.0
1,3.1399,716,10.0
1,2.5863,716,10.0
0,1.9307,716,10.0
1,2.5056,716,10.0
0,2.4557,716,10.0
0,3.4391,716,10.0
0,2.129,716,10.0
1,1.7624,716,0.05
0,2.4149,716,0.05
1,1.9639,716,0.05
1,1.84,716,0.05
0,1.7768,716,0.05
1,1.8659,716,10.0
1,1.7246,716,10.0
1,1.8188,716,10.0
1,1.9357,716,10.0
1,1.7634,716,10.0
0,2.1634,716,10.0
0,2.0024,716,10.0
1,3.052,716,10.0
1,2.3347,716,0.05
1,3.4718,716,0.05
1,2.8571,716,0.05
1,1.222,716,0.05
1,2.4404,716,0.05
1,1.8841,716,0.05
1,3.2606,716,0.05
0,2.8433,716,10.0
1,3.0714,716,10.0
1,2.0105,716,10.0
0,2.2048,716,10.0
1,2.1748,716,10.0
1,2.0918,716,10.0
0,1.7731,716,10.0
1,1.8204,716,10.0
1,1.8065,716,0.05
1,2.9345,716,0.05
1,1.2534,716,0.05
1,1.7222,716,0.05
0,1.5157,716,0.05
0,2.5884,716,0.05
1,1.7476,716,10.0
1,1.9306,716,10.0
1,3.3895,716,10.0
1,1.457,716,10.0
1,2.3888,716,10.0
0,2.0814,716,10.0
1,1.857,716,10.0
0,1.7182,716,0.05
1,2.5451,716,0.05
0,2.1091,716,0.05
0,2.3778,716,0.05
1,1.3337,716,0.05
0,1.991,716,0.05
1,2.9357,716,0.05
1,1.9342,716,0.05
1,1.337,717,10.0
0,3.5,717,10.0
1,3.219,717,10.0
1,1.675,717,10.0
1,4.708,717,10.0
0,3.816,717,10.0
1,3.383,717,10.0
1,1.148,717,10.0
1,1.353,717,10.0
1,1.656,717,10.0
1,4.914,717,10.0
1,1.798,717,10.0
1,2.431,717,10.0
1,1.625,717,10.0
1,2.61,717,0.05
1,1.204,717,0.05
1,3.122,717,0.05
1,2.581,717,0.05
1,2.053,717,0.05
1,2.605,717,0.05
1,1.388,717,0.05
1,2.539,717,0.05
1,3.259,717,0.05
1,3.396,717,0.05
1,3.028,717,0.05
1,2.044,717,0.05
1,1.955,717,0.05
1,2.393,717,0.05
1,1.927,717,10.0
0,1.467,717,10.0
1,2.019,717,10.0
0,4.547,717,10.0
1,1.641,717,10.0
1,1.535,717,10.0
1,2.655,717,10.0
0,1.484,717,0.05
0,4.012,717,0.05
